Week,Number of posts created (normalized)
01 Jan 2024 - 07 Jan 2024,90
08 Jan 2024 - 14 Jan 2024,85
15 Jan 2024 - 21 Jan 2024,80
22 Jan 2024 - 28 Jan 2024,86
29 Jan 2024 - 04 Feb 2024,80
05 Feb 2024 - 11 Feb 2024,75
12 Feb 2024 - 18 Feb 2024,76
19 Feb 2024 - 25 Feb 2024,73
26 Feb 2024 - 03 Mar 2024,80
04 Mar 2024 - 10 Mar 2024,65
11 Mar 2024 - 17 Mar 2024,93
18 Mar 2024 - 24 Mar 2024,73
25 Mar 2024 - 31 Mar 2024,72
01 Apr 2024 - 07 Apr 2024,68
08 Apr 2024 - 14 Apr 2024,65
15 Apr 2024 - 21 Apr 2024,71
22 Apr 2024 - 28 Apr 2024,67
29 Apr 2024 - 05 May 2024,74
06 May 2024 - 12 May 2024,74
13 May 2024 - 19 May 2024,63
20 May 2024 - 26 May 2024,61
27 May 2024 - 02 Jun 2024,73
03 Jun 2024 - 09 Jun 2024,79
10 Jun 2024 - 16 Jun 2024,68
17 Jun 2024 - 23 Jun 2024,63
24 Jun 2024 - 30 Jun 2024,71
01 Jul 2024 - 07 Jul 2024,75
08 Jul 2024 - 14 Jul 2024,78
15 Jul 2024 - 21 Jul 2024,69
22 Jul 2024 - 28 Jul 2024,84
29 Jul 2024 - 04 Aug 2024,70
05 Aug 2024 - 11 Aug 2024,57
12 Aug 2024 - 18 Aug 2024,68
19 Aug 2024 - 25 Aug 2024,67
26 Aug 2024 - 01 Sep 2024,79
02 Sep 2024 - 08 Sep 2024,87
09 Sep 2024 - 15 Sep 2024,95
16 Sep 2024 - 22 Sep 2024,88
23 Sep 2024 - 29 Sep 2024,94
30 Sep 2024 - 06 Oct 2024,90
07 Oct 2024 - 13 Oct 2024,79
14 Oct 2024 - 20 Oct 2024,75
21 Oct 2024 - 27 Oct 2024,64
28 Oct 2024 - 03 Nov 2024,67
04 Nov 2024 - 10 Nov 2024,66
11 Nov 2024 - 17 Nov 2024,67
18 Nov 2024 - 24 Nov 2024,61
25 Nov 2024 - 01 Dec 2024,63
02 Dec 2024 - 08 Dec 2024,61
09 Dec 2024 - 15 Dec 2024,59
16 Dec 2024 - 22 Dec 2024,55
23 Dec 2024 - 29 Dec 2024,48
30 Dec 2024 - 05 Jan 2025,51
06 Jan 2025 - 12 Jan 2025,49
13 Jan 2025 - 19 Jan 2025,55
20 Jan 2025 - 26 Jan 2025,61
27 Jan 2025 - 02 Feb 2025,60
03 Feb 2025 - 09 Feb 2025,61
10 Feb 2025 - 16 Feb 2025,62
17 Feb 2025 - 23 Feb 2025,57
24 Feb 2025 - 02 Mar 2025,69
03 Mar 2025 - 09 Mar 2025,68
10 Mar 2025 - 16 Mar 2025,100
17 Mar 2025 - 23 Mar 2025,79
24 Mar 2025 - 30 Mar 2025,67
31 Mar 2025 - 06 Apr 2025,63
07 Apr 2025 - 13 Apr 2025,65
14 Apr 2025 - 20 Apr 2025,56
21 Apr 2025 - 27 Apr 2025,66
28 Apr 2025 - 04 May 2025,65
05 May 2025 - 11 May 2025,63
12 May 2025 - 18 May 2025,62
19 May 2025 - 25 May 2025,62
26 May 2025 - 01 Jun 2025,63
02 Jun 2025 - 08 Jun 2025,61
09 Jun 2025 - 15 Jun 2025,60
16 Jun 2025 - 22 Jun 2025,64
23 Jun 2025 - 29 Jun 2025,60
30 Jun 2025 - 06 Jul 2025,69
07 Jul 2025 - 13 Jul 2025,65
14 Jul 2025 - 20 Jul 2025,59
21 Jul 2025 - 27 Jul 2025,55
28 Jul 2025 - 03 Aug 2025,62
04 Aug 2025 - 10 Aug 2025,55
11 Aug 2025 - 17 Aug 2025,58
18 Aug 2025 - 24 Aug 2025,61
25 Aug 2025 - 31 Aug 2025,68
01 Sep 2025 - 07 Sep 2025,70
08 Sep 2025 - 14 Sep 2025,90
15 Sep 2025 - 21 Sep 2025,75
22 Sep 2025 - 28 Sep 2025,72
29 Sep 2025 - 05 Oct 2025,82
06 Oct 2025 - 12 Oct 2025,67
13 Oct 2025 - 19 Oct 2025,67
20 Oct 2025 - 26 Oct 2025,65
27 Oct 2025 - 02 Nov 2025,65
03 Nov 2025 - 09 Nov 2025,65
10 Nov 2025 - 16 Nov 2025,65
17 Nov 2025 - 23 Nov 2025,64
24 Nov 2025 - 30 Nov 2025,84
01 Dec 2025 - 07 Dec 2025,59
08 Dec 2025 - 14 Dec 2025,47
15 Dec 2025 - 21 Dec 2025,53
22 Dec 2025 - 28 Dec 2025,42
29 Dec 2025 - 04 Jan 2026,49
05 Jan 2026 - 11 Jan 2026,61
12 Jan 2026 - 18 Jan 2026,50
19 Jan 2026 - 25 Jan 2026,54
26 Jan 2026 - 01 Feb 2026,65
02 Feb 2026 - 08 Feb 2026,50
09 Feb 2026 - 15 Feb 2026,49
16 Feb 2026 - 22 Feb 2026,39
23 Feb 2026 - 01 Mar 2026,58
