;2023/2024;2024/2025;2025/2026
"wk 40";306;322;228
"wk 41";330;376;253
"wk 42";333;352;243
"wk 43";510;341;194
"wk 44";518;284;158
"wk 45";538;226;122
"wk 46";501;213;116
"wk 47";441;204;104
"wk 48";577;165;129
"wk 49";815;143;142
"wk 50";900;109;134
"wk 51";887;115;118
"wk 52";723;96;106
"wk 1";537;130;111
"wk 2";383;106;86
"wk 3";303;73;63
"wk 4";290;80;69
"wk 5";244;77;62
"wk 6";193;62;48
"wk 7";147;63;66
"wk 8";124;53;41
"wk 9";92;49;37
"wk 10";84;51;27
"wk 11";53;29;
"wk 12";48;38;
"wk 13";64;42;
"wk 14";50;33;
"wk 15";27;37;
"wk 16";28;37;
"wk 17";46;38;
"wk 18";39;34;
"wk 19";39;26;
"wk 20";33;39;
"wk 21";42;37;
"wk 22";55;45;
"wk 23";61;40;
"wk 24";127;45;
"wk 25";191;53;
"wk 26";240;43;
"wk 27";252;37;
"wk 28";340;45;
"wk 29";336;54;
"wk 30";352;32;
"wk 31";324;50;
"wk 32";264;71;
"wk 33";188;66;
"wk 34";177;68;
"wk 35";193;82;
"wk 36";249;93;
"wk 37";194;110;
"wk 38";315;162;
"wk 39";268;200;
