;2021/2022;2022/2023;2023/2024;2024/2025;2025/2026
"wk 40";0.11;3.31;1.01;1.40;1.27
"wk 41";0.11;2.41;1.12;1.54;1.53
"wk 42";0.33;2.21;1.24;1.30;0.97
"wk 43";0.31;1.56;1.26;1.06;0.92
"wk 44";0.69;1.25;1.54;1.00;0.53
"wk 45";0.67;0.97;1.82;0.65;0.47
"wk 46";1.02;0.86;1.95;0.55;0.36
"wk 47";1.16;0.95;2.15;0.61;0.43
"wk 48";1.16;1.03;2.38;0.51;0.33
"wk 49";0.85;1.12;3.14;0.44;0.46
"wk 50";0.70;1.35;3.57;0.37;0.47
"wk 51";0.72;1.69;3.41;0.34;0.26
"wk 52";0.68;1.83;2.60;0.32;0.20
"wk 1";0.99;1.33;1.96;0.33;0.29
"wk 2";1.20;0.81;0.85;0.17;0.18
"wk 3";1.51;0.52;0.65;0.16;0.11
"wk 4";2.75;0.58;0.69;0.10;0.11
"wk 5";3.98;0.62;0.49;0.13;0.11
"wk 6";3.77;1.03;0.35;0.08;0.15
"wk 7";3.65;1.52;0.23;0.06;0.23
"wk 8";2.91;2.16;0.10;0.10;NA
"wk 9";4.03;2.30;0.15;0.14;NA
"wk 10";6.03;1.94;0.12;0.09;NA
"wk 11";5.46;1.77;0.11;0.04;NA
"wk 12";4.99;1.41;0.10;0.14;NA
"wk 13";3.79;1.19;0.13;0.14;NA
"wk 14";2.70;0.80;0.07;0.18;NA
"wk 15";2.02;0.76;0.06;0.08;NA
"wk 16";1.59;0.59;0.04;0.06;NA
"wk 17";0.87;0.46;0.08;0.05;NA
"wk 18";0.63;0.35;0.11;0.07;NA
"wk 19";0.71;0.25;0.12;0.07;NA
"wk 20";0.62;0.21;0.09;0.07;NA
"wk 21";0.47;0.30;0.16;0.11;NA
"wk 22";0.66;0.25;0.29;0.13;NA
"wk 23";0.89;0.11;0.35;0.21;NA
"wk 24";2.16;0.11;0.47;0.25;NA
"wk 25";4.08;0.08;0.95;0.24;NA
"wk 26";3.16;0.07;1.33;0.20;NA
"wk 27";3.61;0.07;1.07;0.13;NA
"wk 28";3.46;0.08;1.26;0.21;NA
"wk 29";2.24;0.16;1.61;0.18;NA
"wk 30";2.26;0.14;1.68;0.18;NA
"wk 31";1.78;0.21;1.22;0.21;NA
"wk 32";1.16;0.23;0.78;0.33;NA
"wk 33";1.11;0.37;0.84;0.29;NA
"wk 34";0.61;0.40;0.70;0.27;NA
"wk 35";0.79;0.66;0.72;0.44;NA
"wk 36";0.90;0.82;0.73;0.42;NA
"wk 37";0.99;0.79;0.91;0.42;NA
"wk 38";1.31;0.76;1.17;0.80;NA
"wk 39";2.51;0.94;1.43;1.08;NA
