;2021/2022;2022/2023;2023/2024;2024/2025;2025/2026
40;185;1717;597;1185;729
41;274;1590;574;1234;656
42;440;1724;598;1030;585
43;450;1266;820;942;865
44;522;1081;1096;887;639
45;889;759;1130;709;519
46;1122;974;1456;583;442
47;1162;1030;1743;457;351
48;816;1078;2269;414;407
49;868;1150;3713;380;501
50;907;1712;4176;312;565
51;679;2291;4343;407;410
52;712;1974;2686;332;313
1;784;1042;1555;346;447
2;795;699;868;215;289
3;1303;439;617;140;174
4;1645;455;630;148;131
5;2063;706;487;137;164
6;1719;748;354;92;175
7;1541;1136;207;85;101
8;1088;1718;144;77;
9;1891;2116;94;66;
10;2428;2134;133;73;
11;2310;1597;105;87;
12;1690;1784;83;117;
13;1447;1238;114;118;
14;1237;924;73;103;
15;686;963;72;103;
16;496;620;86;130;
17;325;572;122;132;
18;345;537;140;114;
19;291;341;109;129;
20;300;176;151;140;
21;274;163;157;211;
22;461;140;224;293;
23;642;109;280;276;
24;950;75;532;252;
25;1204;63;737;242;
26;1600;49;794;191;
27;1565;59;953;165;
28;1839;79;1157;195;
29;1645;99;1192;205;
30;1094;157;1049;238;
31;841;206;926;309;
32;569;321;583;319;
33;565;266;586;428;
34;517;356;549;354;
35;540;415;476;464;
36;659;467;643;532;
37;662;446;731;431;
38;817;486;1095;395;
39;1415;518;1388;414;
