origin_date,actual_date,horizon_weeks,forecast,actual_cases,error,abs_error,ape_percent,category
2025-01-05,2025-01-12,1,130.0,78.0,52.0,52.0,66.66666666666666,stable
2025-01-05,2025-01-19,2,125.0,88.0,37.0,37.0,42.04545454545455,decreasing
2025-01-05,2025-01-26,3,120.0,83.0,37.0,37.0,44.57831325301205,decreasing
2025-01-12,2025-01-19,1,99.58333333333331,88.0,11.583333333333314,11.583333333333314,13.162878787878766,significantly increasing
2025-01-12,2025-01-26,2,89.91666666666667,83.0,6.916666666666671,6.916666666666671,8.33333333333334,increasing
2025-01-12,2025-02-02,3,80.25,66.0,14.25,14.25,21.59090909090909,stable
2025-01-19,2025-01-26,1,98.7,83.0,15.700000000000005,15.700000000000005,18.91566265060241,decreasing
2025-01-19,2025-02-02,2,86.3,66.0,20.3,20.3,30.757575757575754,decreasing
2025-01-19,2025-02-09,3,74.9,64.0,10.900000000000006,10.900000000000006,17.031250000000007,decreasing
2025-01-26,2025-02-02,1,98.0,66.0,32.0,32.0,48.48484848484848,decreasing
2025-01-26,2025-02-09,2,93.0,64.0,29.0,29.0,45.3125,decreasing
2025-01-26,2025-02-16,3,88.0,56.0,32.0,32.0,57.14285714285714,decreasing
2025-02-02,2025-02-09,1,89.0,64.0,25.0,25.0,39.0625,stable
2025-02-02,2025-02-16,2,86.0,56.0,30.0,30.0,53.57142857142857,stable
2025-02-02,2025-02-23,3,83.0,51.0,32.0,32.0,62.74509803921568,decreasing
2025-02-09,2025-02-16,1,78.0,56.0,22.0,22.0,39.285714285714285,decreasing
2025-02-09,2025-02-23,2,70.0,51.0,19.0,19.0,37.25490196078432,decreasing
2025-02-09,2025-03-02,3,65.0,52.0,13.0,13.0,25.0,decreasing
2025-02-16,2025-02-23,1,98.0,51.0,47.0,47.0,92.15686274509804,decreasing
2025-02-16,2025-03-02,2,93.0,52.0,41.0,41.0,78.84615384615384,decreasing
2025-02-16,2025-03-09,3,87.0,33.0,54.0,54.0,163.63636363636363,decreasing
2025-02-23,2025-03-02,1,68.0,52.0,16.0,16.0,30.76923076923077,stable
2025-02-23,2025-03-09,2,63.0,33.0,30.0,30.0,90.9090909090909,decreasing
