date,cases,ww_mean,ww_smooth,pct_mean,pos_lag1,cases_lag1,cases_lag2,week_num,Lineage_other,Lineage_B.1.1.7,Lineage_B.1.351,Lineage_P.1,Lineage_B.1.617.2,Lineage_BA.1,Lineage_BA.2,Lineage_BA.2.12.1,Lineage_BA.4,Lineage_BA.5,Lineage_BQ.1,Lineage_BA.2.75,Lineage_XBB,Lineage_XBB.1.5,Lineage_XBB.1.9,Lineage_XBF,Lineage_XBB.1.16,Lineage_EG.5,Lineage_BA.2.86,Lineage_JN.1,Lineage_KP.2,Lineage_KP.3,Lineage_XEC,Lineage_NB.1.8.1,Lineage_LP.8.1,Lineage_XFG,Lineage_BA.3.2,Week,Normalized_FB,Normalized_IG,Normalized_threads,week_start,sum_meas,avg_meas,social_lag1,week_count,week_total_count,week_ratio,news_lag1,wastewater_change,positivity_change,top_lineage,top_lineage_pct,top_lineage_pct_change,llm_forecast_1,llm_forecast_2,llm_forecast_3,llm_ci_lower_1,llm_ci_upper_1,llm_ci_lower_2,llm_ci_upper_2,llm_ci_lower_3,llm_ci_upper_3,llm_category_1,llm_category_2,llm_category_3,llm_explanation
2023-10-01,306,597,533.666666666667,1.01,0.94,,,1,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,Lineage_other,0.0,,,,,,,,,,,,,,
2023-10-08,330,574,563.0,1.12,1.01,306.0,,2,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,-0.038525963149078746,0.10891089108910901,Lineage_other,0.0,,,,,,,,,,,,,,
2023-10-15,333,598,589.666666666667,1.24,1.12,330.0,306.0,3,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.04181184668989557,0.10714285714285698,Lineage_other,0.0,,,,,,,,,,,,,,
2023-10-22,510,820,664.0,1.26,1.24,333.0,330.0,4,4.2525,0,0,0,0,0,0.175,0,0,0.195,0.065,1.55,10.015,10.5375,9.44,0,10.3675,46.43,5.1425,1.77,0.0,0.065,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.3712374581939799,0.016129032258064502,Lineage_EG.5,46.43,inf,,,,,,,,,,,,,
2023-10-29,518,1096,838.0,1.54,1.26,510.0,333.0,5,4.05,0,0,0,0,0,0.15,0,0,0.13,0.065,1.1525,9.81,10.535,9.17,0,9.5975,45.045,6.7975,3.5075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.3365853658536586,0.22222222222222232,Lineage_EG.5,45.045,-0.029829851389188033,,,,,,,,,,,,,
2023-11-05,538,1130,1015.33333333333,1.82,1.54,518.0,510.0,6,3.9875,0,0,0,0,0,0.15,0,0,0.13,0.0,1.0875,7.98,10.715,8.765,0,7.8775,44.5425,8.535,6.2375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.031021897810219023,0.18181818181818188,Lineage_EG.5,44.5425,-0.011155511155511277,,,,,,,,,,,,,
2023-11-12,501,1456,1227.33333333333,1.95,1.82,538.0,518.0,7,3.3675,0,0,0,0,0,0.1675,0,0,0.0,0.0,1.0175,7.0225,9.9025,7.2725,0,6.9375,42.25,10.9875,11.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.28849557522123903,0.0714285714285714,Lineage_EG.5,42.25,-0.05146769938822471,,,,,,,,,,,,,
2023-11-19,441,1743,1443.0,2.15,1.95,501.0,538.0,8,3.4475,0,0,0,0,0,0.195,0,0,0.0,0.0,0.7825,6.05,9.5675,6.095,0,5.695,37.065,12.55,18.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.19711538461538458,0.10256410256410264,Lineage_EG.5,37.065,-0.12272189349112428,,,,,,,,,,,,,
2023-11-26,577,2269,1822.66666666667,2.38,2.15,441.0,501.0,9,3.0225,0,0,0,0,0,0.155,0,0,0.0,0.0,0.53,4.5925,8.9125,4.9975,0,4.205,30.8775,14.0625,28.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.30177854274239824,0.10697674418604652,Lineage_EG.5,30.8775,-0.16693646297045717,,,,,,,,,,,,,
2023-12-03,815,3713,2575.0,3.14,2.38,577.0,441.0,10,2.805,0,0,0,0,0,0.215,0,0,0.0,0.0,0.33,3.2125,8.0875,3.8375,0,2.86,23.985,14.98,39.6925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.6364037020713971,0.3193277310924372,Lineage_JN.1,39.6925,0.3854275741710298,,,,,,,,,,,,,
2023-12-10,900,4176,3386.0,3.57,3.14,815.0,577.0,11,2.5825,0,0,0,0,0,0.165,0,0,0.0,0.0,0.2375,2.58,6.035,2.725,0,1.78,17.725,14.2475,51.9175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.1246970105036358,0.13694267515923553,Lineage_JN.1,51.9175,0.30799269383384753,,,,,,,,,,,,,
2023-12-17,887,4343,4077.33333333333,3.41,3.57,900.0,815.0,12,2.2375,0,0,0,0,0,0.1425,0,0,0.0,0.0,0.165,1.6725,3.9325,1.9875,0,1.1525,11.975,13.8825,62.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.039990421455938785,-0.0448179271708683,Lineage_JN.1,62.85,0.21057446910964517,,,,,,,,,,,,,
2023-12-24,723,2686,3735.0,2.6,3.41,887.0,900.0,13,1.7875,0,0,0,0,0,0.1425,0,0,0.0,0.0,0.0925,1.22,2.475,1.0525,0,0.7725,7.955,12.505,71.9975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,-0.3815335021874281,-0.2375366568914956,Lineage_JN.1,71.9975,0.1455449482895783,,,,,,,,,,,,,
2023-12-31,537,1555,2861.33333333333,1.96,2.6,723.0,887.0,14,1.195,0,0,0,0,0,0.0825,0,0,0.0,0.0,0.1325,0.7375,1.2775,0.6825,0,0.47,5.385,10.57,79.365,0.0,0.1,0.0,0.0,0.0,0.0,0.0,01 Jan 2024 - 07 Jan 2024,51.0,90.0,46.0,01 Jan 2024,187.0,62.3333333333333,,105.0,6188.0,0.139741532546485,,-0.42107222635889796,-0.24615384615384617,Lineage_JN.1,79.365,0.10232994201187529,,,,,,,,,,,,,
2024-01-07,383,868,1703.0,0.85,1.96,537.0,723.0,15,0.9425,0,0,0,0,0,0.195,0,0,0.0,0.0,0.1,0.1725,0.9575,0.495,0,0.27,4.4275,8.23,84.1125,0.0,0.1,0.0,0.0,0.0,0.0,0.0,08 Jan 2024 - 14 Jan 2024,60.0,85.0,50.0,08 Jan 2024,195.0,65.0,,209.0,8378.0,0.169805154602655,,-0.44180064308681677,-0.5663265306122449,Lineage_JN.1,84.1125,0.05981855981855988,,,,,,,,,,,,,
